cluster_id,location_key,location_lat,location_lon,cluster_size,avg_confidence,max_confidence,min_confidence,confidence_level,num_edges,company_names_count,company_domains_count,timezones_count,methods_agreeing_count,methods_agreeing,manual_decision,decision_reason,timestamp
LOC_84107_NAME_0,40.8363_-96.7196,40.8363,-96.7196,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:04:46.029051
LOC_86751_NAME_0,40.946_-96.7261,40.946,-96.7261,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:04:48.474008
LOC_87083_NAME_0,40.9846_-74.9898,40.9846,-74.9898,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:04:50.030442
LOC_87174_NAME_1,40.9938_-80.3477,40.9938,-80.3477,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:04:51.230720
LOC_93254_NAME_0,41.235_-95.9308,41.235,-95.9308,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:04:52.975817
LOC_94261_NAME_0,41.2528_-95.8973,41.2528,-95.8973,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:04:53.879227
LOC_96226_NAME_0,41.2803_-96.2828,41.2803,-96.2828,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:04:54.560358
LOC_97459_NAME_0,41.2948_-96.0087,41.2948,-96.0087,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:04:55.200132
LOC_98469_NAME_0,41.3124_-75.836,41.3124,-75.836,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,REJECTED,manual_rejection,2025-07-10T15:04:55.844522
LOC_110874_NAME_0,42.0475_-88.1068,42.0475,-88.1068,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:05:00.076010
